Date,Open*,High,Low,Close,Volume,Market Cap
09/16/16,607.25,609.26,606.73,606.97,64963400,9633710359
09/17/16,607.22,607.86,605.19,605.98,37140300,9619198525
09/18/16,606.28,610.16,605.86,609.87,48679400,9682008337
09/19/16,609.87,610.93,608.27,609.23,54796400,9672709264
09/20/16,609.25,609.53,607.94,608.31,72710896,9659269452
09/21/16,603.59,603.59,595.88,597.15,82776200,9483211005
09/22/16,597.28,598.49,596.21,596.3,67085300,9470698215
09/23/16,596.2,603.21,595.79,602.84,51067000,9575631549
09/24/16,602.96,604.58,602.04,602.63,35359500,9573385118
09/25/16,602.75,603.38,599.71,600.83,33977800,9546132575
09/26/16,600.81,608.14,600.35,608.04,59153800,9661922446
09/27/16,608.02,608.25,604.11,606.17,49422400,9633311305
09/28/16,606.24,606.59,604.61,604.73,48722600,9611532319
09/29/16,605.02,606.82,604.85,605.69,55658600,9627902106
09/30/16,605.72,609.73,604.14,609.73,56122400,9693198750
10/01/16,609.93,615.24,609.93,613.98,56357000,9761887632
10/02/16,613.95,614.01,609.68,610.89,39249800,9713776587
10/03/16,610.97,612.57,610.46,612.13,46798300,9734618878
10/04/16,612.05,612.05,609.48,610.2,49801600,9705099355
10/05/16,610.22,613.81,609.62,612.51,68077504,9743018924
10/06/16,612.47,613.82,611.47,613.02,56812100,9752315689
10/07/16,612.61,617.91,611.82,617.12,64071400,9818599994
10/08/16,617.34,619.85,617.34,619.11,42345900,9851461946
10/09/16,619.17,619.2,616.61,616.75,39243400,9815156618
10/10/16,616.82,621.32,616.2,618.99,67481104,9851764897
10/11/16,619.24,642.08,618.5,641.07,103590000,10204214839
10/12/16,640.87,641.34,635.97,636.19,92370200,10127644784
10/13/16,636.03,638.83,635.03,636.79,61620700,10138078870
10/14/16,637.01,641.28,637.01,640.38,58144600,10196303437
10/15/16,640.31,642.1,637.39,638.65,39035400,10169814232
10/16/16,639.08,642.9,638.9,641.63,40298100,10218348388
10/17/16,641.82,642.33,638.66,639.19,58063600,10180488274
10/18/16,639.41,640.74,636,637.96,65546700,10162029114
10/19/16,638.13,638.87,628.01,630.52,69381696,10044471117
10/20/16,630.66,631.92,628.26,630.86,56957300,10050854099
10/21/16,630.83,634.09,630.69,632.83,55951000,10083501603
10/22/16,633.14,658.2,632.85,657.29,78556496,10474463658
10/23/16,657.62,661.13,653.89,657.07,54474600,10472100602
10/24/16,657.16,657.25,652.59,653.76,62218200,10420469172
10/25/16,654,664.42,653.7,657.59,90378800,10482565592
10/26/16,657.68,679.73,657.68,678.3,88877104,10813913071
10/27/16,678.21,688.59,678.04,688.31,96105296,10974828655
10/28/16,688,690.44,684.16,689.65,81145504,10997420362
10/29/16,690.29,720.4,690.05,714.48,134760992,11394596830
10/30/16,714.12,714.12,696.47,701.86,100665000,11194834676
10/31/16,702.64,709.29,691.68,700.97,97064400,11181852070
11/01/16,701.34,736.45,701.34,729.79,130527000,11642863554
11/02/16,730.07,740.83,722.35,740.83,84865200,11820110421
11/03/16,742.35,745.77,678.16,688.7,172808000,10989660280
11/04/16,689.12,706.93,685.56,703.23,99907696,11222575748
11/05/16,703.53,707.51,697.74,703.42,53752300,11226736982
11/06/16,703.81,714.26,699.56,711.52,59902200,11357385316
11/07/16,710.74,710.74,699.9,703.13,65047100,11224670783
11/08/16,703.09,712.99,702.39,709.85,79660800,11333339468
11/09/16,709.83,740.05,708.61,723.27,132429000,11548965779
11/10/16,722.84,723.02,711.21,715.53,68807800,11426817526
11/11/16,715.55,718.32,714.41,716.41,63119700,11442241390
11/12/16,716.75,717.15,704.03,705.05,64622500,11262273136
11/13/16,705.2,705.26,687.32,702.03,80318096,11215181107
11/14/16,702,706.28,699.81,705.02,62993000,11271073434
11/15/16,705.79,715.72,705.26,711.62,72038496,11377924616
11/16/16,711.17,747.61,709.04,744.2,141294000,11900441939
11/17/16,744.88,755.65,739.51,740.98,108579000,11850398479
11/18/16,740.71,752.88,736.89,751.59,87363104,12021432968
11/19/16,751.83,756.24,744.47,751.62,110608000,12023262925
11/20/16,751.88,755.48,717.94,731.03,154116000,11695081878
11/21/16,731.27,741.72,730.51,739.25,60802400,11827902946
11/22/16,739.64,753.87,736.53,751.35,129906000,12022735372
11/23/16,751.74,752.25,738.92,744.59,76543800,11916054235
11/24/16,744.62,746.83,733.49,740.29,85919296,11848658575
11/25/16,740.44,741.65,734.59,741.65,67807600,11871816579
11/26/16,741.51,742.21,729.63,735.38,54962700,11772895899
11/27/16,735.44,739.02,731.09,732.03,52601800,11720648987
11/28/16,732.48,738.01,732.48,735.81,61888600,11782628755
11/29/16,736.33,737.47,734.56,735.6,68511104,11780661280
11/30/16,736.28,747.93,736.27,745.69,84070800,11943536630
12/01/16,746.05,758.28,746.05,756.77,80461904,12122431239
12/02/16,757.54,781.3,757.54,777.94,127605000,12462935160
12/03/16,778.25,778.25,764.86,771.16,69547296,12355811709
12/04/16,771.64,773.87,768.16,773.87,60557900,12400766376
12/05/16,773.39,773.47,751.71,758.7,106363000,12159115875
12/06/16,758.72,765.62,758.72,764.22,116218000,12249086971
12/07/16,764.21,771.54,759.75,768.13,96426096,12313376414
12/08/16,768.08,774.7,765.95,770.81,80111904,12357837893
12/09/16,769.94,774.53,769.65,772.79,68705296,12390863077
12/10/16,773.02,777.09,772.91,774.65,53843100,12421967470
12/11/16,774.75,774.8,765.41,769.73,57313400,12344888048
12/12/16,770.04,781.92,770.04,780.09,76571000,12512497969
12/13/16,780.65,788.46,777.96,780.56,81645600,12521776922
12/14/16,780.01,782.03,776.84,781.48,75979000,12534369129
12/15/16,780.07,781.43,777.8,778.09,81580096,12484761985
12/16/16,778.96,785.03,778.96,784.91,83608200,12595490539
12/17/16,785.17,792.51,784.86,790.83,78989800,12691945028
12/18/16,791.01,794.74,788.03,790.53,60524400,12688510068
12/19/16,790.69,793.61,790.32,792.71,74886400,12725090633
12/20/16,792.25,801.34,791.5,800.88,99629296,12857473134
12/21/16,800.64,834.28,799.41,834.28,155576000,13395445163
12/22/16,834.18,875.78,834.15,864.54,200027008,13882988216
12/23/16,864.89,925.12,864.68,921.98,275564000,14807189352
12/24/16,922.18,923.48,886.34,898.82,137727008,14436754927
12/25/16,899.65,899.65,862.42,896.18,143664992,14396194094
12/26/16,896.91,913.18,896.9,907.61,123771000,14581389977
12/27/16,908.35,940.05,904.26,933.2,167308000,14994286713
12/28/16,934.83,975.92,934.83,975.92,236630000,15682769405
12/29/16,975.13,979.4,954.5,973.5,199320000,15645617392
12/30/16,972.53,972.53,934.83,961.24,187474000,15450507055
12/31/16,960.63,963.74,947.24,963.74,99135104,15492554222
01/01/17,963.66,1003.08,958.7,998.33,147775008,16050407461
01/02/17,998.62,1031.39,996.7,1021.75,222184992,16429024775
01/03/17,1021.6,1044.08,1021.6,1043.84,185168000,16786368910
01/04/17,1044.4,1159.42,1044.4,1154.73,344945984,18571869009
01/05/17,1156.73,1191.1,910.42,1013.38,510199008,16300254795
01/06/17,1014.24,1046.81,883.94,902.2,351876000,14513695758
01/07/17,903.49,908.59,823.56,908.59,279550016,14618030536
01/08/17,908.17,942.72,887.25,911.2,158715008,14661966429
01/09/17,913.24,913.69,879.81,902.83,141876992,14528815565
01/10/17,902.44,914.87,901.06,907.68,115808000,14608685049
01/11/17,908.11,919.45,762.77,777.76,310928992,12519135996
01/12/17,775.18,826.25,755.76,804.83,222326000,12956730411
01/13/17,803.74,829,780,823.98,168968000,13266554392
01/14/17,825.14,835.09,812.46,818.41,93063296,13178601992
01/15/17,818.14,823.31,812.87,821.8,71013600,13234840657
01/16/17,821.78,834.53,820.27,831.53,82755200,13393372620
01/17/17,830.95,910.56,830.8,907.94,155095008,14625779851
01/18/17,909.37,917.5,858.3,886.62,225676992,14284036613
01/19/17,888.34,904.61,884.34,899.07,105625000,14486616700
01/20/17,898.17,899.4,887.01,895.03,86728400,14423545371
01/21/17,895.55,927.37,895.53,921.79,111158000,14856911163
01/22/17,922.21,937.53,897.56,924.67,116573000,14905439337
01/23/17,925.5,928.27,916.74,921.01,73588600,14848013909
01/24/17,910.68,924.15,892.29,892.69,111349000,14393026385
01/25/17,891.92,903.25,891.69,901.54,120831000,14537488261
01/26/17,902.4,919.33,902.22,917.59,131958000,14797955301
01/27/17,918.36,923.22,915.85,919.75,125594000,14834831700
01/28/17,919.81,923.91,919.81,921.59,68979600,14866260449
01/29/17,922.07,923.42,919.15,919.5,60851700,14834377926
01/30/17,920.15,923.05,919.47,920.38,78227296,14850351605
01/31/17,920.96,972.02,920.96,970.4,164582000,15659186515
02/01/17,970.94,989.11,970.74,989.02,150110000,15962015276
02/02/17,990,1013.52,983.22,1011.8,145820992,16331615570
02/03/17,1011.46,1033.87,1008.79,1029.91,201278000,16625849489
02/04/17,1031.33,1045.9,1015.16,1042.9,155064000,16837411920
02/05/17,1043.52,1043.63,1022.37,1027.34,114208000,16588240157
02/06/17,1028.4,1044.64,1028.16,1038.15,111762000,16764422010
02/07/17,1040.14,1061.93,1040.14,1061.35,146007008,17141080574
02/08/17,1062.32,1078.97,1037.49,1063.07,201855008,17170799127
02/09/17,1064.7,1088.99,953.34,994.38,407220000,16063448932
02/10/17,995.63,998.91,946.69,988.67,190452000,15973053725
02/11/17,988.9,1009.29,982.83,1004.45,102261000,16229677099
02/12/17,1003.52,1004.76,996.92,999.18,67530000,16146290349
02/13/17,998.89,1002.1,976,990.64,100607000,16010322103
02/14/17,991.73,1011.51,986.47,1004.55,137946000,16237219721
02/15/17,1006.21,1008.84,1001.58,1007.48,89759400,16286329282
02/16/17,1007.65,1033.37,1007.65,1027.44,122277000,16610905026
02/17/17,1026.12,1053.17,1025.64,1046.21,136474000,16916338976
02/18/17,1049.21,1061.1,1046.96,1054.42,99073504,17051064834
02/19/17,1054.76,1056.81,1043.46,1047.87,77423296,16946913346
02/20/17,1048.69,1080.49,1041.69,1079.98,109478000,17468244508
02/21/17,1079.28,1117.25,1076.93,1115.3,186868992,18041455273
02/22/17,1114.8,1125.39,1100.55,1117.44,136100000,18077985665
02/23/17,1117.27,1176.62,1116.96,1166.72,189454000,18877442096
02/24/17,1172.71,1200.39,1131.96,1173.68,330759008,18992415818
02/25/17,1170.41,1174.85,1124.59,1143.84,139960992,18511906560
02/26/17,1144.27,1167.47,1130.2,1165.2,116486000,18860247630
02/27/17,1163.78,1181.98,1163.38,1179.97,131570000,19101427518
02/28/17,1180.72,1193.25,1171.82,1179.97,184956000,19103684801
03/01/17,1180.04,1222.5,1179.69,1222.5,229056992,19794459608
03/02/17,1224.68,1262.13,1215.62,1251.01,368275008,20258543188
03/03/17,1250.71,1280.31,1250.71,1274.99,315739008,20649259919
03/04/17,1277.43,1279.4,1230.51,1255.15,183270000,20329978338
03/05/17,1254.29,1267.29,1238.06,1267.12,134127000,20526235270
03/06/17,1267.47,1276,1264.6,1272.83,153656992,20620991547
03/07/17,1273.21,1275.55,1204.8,1223.54,291256000,19824773912
03/08/17,1223.23,1232.16,1148.08,1150,332603008,18635275050
03/09/17,1150.35,1197.46,1141.23,1188.49,212283008,19261188310
03/10/17,1189.36,1270.47,1077.25,1116.72,563795968,18100188612
03/11/17,1116.32,1193.83,1116.32,1175.83,283320000,19060468862
03/12/17,1176.62,1226.98,1175.36,1221.38,227176000,19801195767
03/13/17,1221.78,1237.37,1217.03,1231.92,380276992,19974334865
03/14/17,1232.16,1244.81,1220.72,1240,245306000,20107761880
03/15/17,1240.16,1251.61,1239.75,1249.61,297804992,20265831337
03/16/17,1251.33,1257.98,1152.44,1187.81,638568000,19265847025
03/17/17,1180.16,1180.16,1099.57,1100.23,706598976,17847435957
03/18/17,1099.69,1114.07,957.66,973.82,621302016,15798760668
03/19/17,976.73,1069.91,976.73,1036.74,406648000,16821676707
03/20/17,1037.24,1063.03,1036.68,1054.23,286529984,17107266418
03/21/17,1055.36,1122.43,1055.36,1120.54,337391008,18185299687
03/22/17,1120.65,1120.65,1014.21,1049.14,380840992,17028630158
03/23/17,1050.05,1058.01,1028.93,1038.59,248540000,16859314109
03/24/17,1038.45,1040.47,934.36,937.52,491038016,15220718764
03/25/17,936.54,975.76,903.71,972.78,435803008,15794781102
03/26/17,974.02,1007.96,954.19,966.72,303668000,15698465531
03/27/17,972.05,1046.4,971.98,1045.77,372535008,16983801541
03/28/17,1044.58,1064.65,1027.73,1047.15,326332000,17008241726
03/29/17,1046.08,1055.13,1015.88,1039.97,298457984,16893415156
03/30/17,1042.21,1049.29,1020.04,1026.43,352968992,16675587066
03/31/17,1026.64,1074.92,1026.64,1071.79,447287008,17414322808
04/01/17,1071.71,1091.72,1061.09,1080.5,289633984,17557597716
04/02/17,1080.61,1107.59,1075.45,1102.17,514187008,17911915755
04/03/17,1102.95,1151.74,1102.95,1143.81,580444032,18591158323
04/04/17,1145.52,1156.44,1120.52,1133.25,436310016,18421262063
04/05/17,1134.14,1135.09,1113.63,1124.78,414784000,18285857775
04/06/17,1125.81,1188.37,1125.81,1182.68,511222016,19229356147
04/07/17,1178.94,1186.58,1163.39,1176.9,317022016,19137747435
04/08/17,1172.65,1184.98,1162.58,1175.95,209312000,19124327856
04/09/17,1176.57,1197.21,1171.86,1187.87,242343008,19320511927
04/10/17,1187.3,1190.34,1179.04,1187.13,215883008,19310642460
04/11/17,1187.46,1208.07,1187.46,1205.01,216182000,19604036563
04/12/17,1204.81,1207.14,1196.76,1200.37,288702016,19530680104
04/13/17,1201.02,1205.89,1156.44,1169.28,351968992,19026699552
04/14/17,1170.33,1190.8,1159.79,1167.54,254827008,19000400018
04/15/17,1167.3,1188,1164.96,1172.52,203559008,19083656460
04/16/17,1172.61,1187.22,1172.61,1182.94,183231008,19255408766
04/17/17,1183.25,1194.9,1172.65,1193.91,253206000,19436033390
04/18/17,1193.77,1217.57,1193.77,1211.67,270524000,19727334977
04/19/17,1212.13,1215.51,1205.08,1210.29,288060992,19707045565
04/20/17,1211.08,1240.79,1208.41,1229.08,315108000,20015137622
04/21/17,1229.42,1235.94,1215.56,1222.05,272167008,19903192286
04/22/17,1222.71,1235.56,1208.47,1231.71,249320000,20062753908
04/23/17,1231.92,1232.2,1203.94,1207.21,258951008,19665994145
04/24/17,1209.63,1250.94,1209.63,1250.15,235806000,20367443800
04/25/17,1250.45,1267.58,1249.97,1265.49,242556000,20619704237
04/26/17,1265.99,1294.83,1265.93,1281.08,329631008,20876159410
04/27/17,1281.88,1319.7,1281.3,1317.73,449196992,21475836448
04/28/17,1317.74,1331.28,1292.37,1316.48,527488992,21457669552
04/29/17,1317.84,1327.2,1315.21,1321.79,422705984,21547126640
04/30/17,1321.87,1347.91,1314.92,1347.89,413115008,21975104909
05/01/17,1348.3,1434.32,1348.3,1421.6,713624000,23179524919
05/02/17,1421.03,1473.9,1415.69,1452.82,477337984,23691443738
05/03/17,1453.78,1492.77,1447.49,1490.09,583795968,24301634925
05/04/17,1490.72,1608.91,1490.72,1537.67,933548992,25080858487
05/05/17,1540.87,1618.03,1530.31,1555.45,946035968,25373374563
05/06/17,1556.81,1578.8,1542.5,1578.8,582529984,25757608890
05/07/17,1579.47,1596.72,1559.76,1596.71,1080029952,26053077975
05/08/17,1596.92,1723.35,1596.92,1723.35,1340320000,28123369330
05/09/17,1723.89,1833.49,1716.3,1755.36,1167920000,28649119972
05/10/17,1756.52,1788.44,1719.1,1787.13,915723008,29170965564
05/11/17,1780.37,1873.93,1755.35,1848.57,799489984,30176934751
05/12/17,1845.76,1856.15,1694.01,1724.24,740984000,28150631936
05/13/17,1723.12,1812.99,1651.08,1804.91,579635008,29471223857
05/14/17,1800.86,1831.42,1776.62,1808.91,437196000,29540290794
05/15/17,1808.44,1812.8,1708.54,1738.43,731529024,28392885375
05/16/17,1741.7,1785.94,1686.54,1734.45,959044992,28330874003
05/17/17,1726.73,1864.05,1661.91,1839.09,1064729984,30043626195
05/18/17,1818.7,1904.48,1807.12,1888.65,894321024,30856574835
05/19/17,1897.37,2004.52,1890.25,1987.71,1157289984,32479082015
05/20/17,1984.24,2084.73,1974.92,2084.73,961336000,34068630559
05/21/17,2067.03,2119.08,2037.5,2041.2,1147859968,33361091114
05/22/17,2043.19,2303.9,2017.87,2173.4,1942220032,35525744380
05/23/17,2191.56,2320.82,2178.5,2320.42,1378749952,37933704066
05/24/17,2321.37,2523.72,2321.37,2443.64,1725379968,39952841999
05/25/17,2446.24,2763.71,2285.3,2304.98,2406700032,37690456715
05/26/17,2320.89,2573.79,2071.99,2202.42,1763480064,36017660894
05/27/17,2196.27,2260.2,1855.83,2038.87,1700480000,33347170525
05/28/17,2054.08,2267.34,2054.08,2155.8,1147139968,35264171110
05/29/17,2159.43,2307.05,2107.17,2255.61,994625024,36901102917
05/30/17,2255.36,2301.96,2124.57,2175.47,1443970048,35594903085
05/31/17,2187.19,2311.08,2145.57,2286.41,1544829952,37414813240
06/01/17,2288.33,2448.39,2288.33,2407.88,1653180032,39407633763
06/02/17,2404.03,2488.55,2373.32,2488.55,1317030016,40732491835
06/03/17,2493.72,2581.91,2423.57,2515.35,1514950016,41177190057
06/04/17,2547.79,2585.89,2452.54,2511.81,1355120000,41124262595
06/05/17,2512.4,2686.81,2510.22,2686.81,1369309952,43994968834
06/06/17,2690.84,2999.91,2690.84,2863.2,2089609984,46888622160
06/07/17,2869.38,2869.38,2700.56,2732.16,1517709952,44748237218
06/08/17,2720.49,2815.3,2670.95,2805.62,1281170048,45957247989
06/09/17,2807.44,2901.71,2795.62,2823.81,1348950016,46260465854
06/10/17,2828.14,2950.99,2746.55,2947.71,2018889984,48295501718
06/11/17,2942.41,2996.6,2840.53,2958.11,1752400000,48471330146
06/12/17,2953.22,2997.26,2518.56,2659.63,2569530112,43585351533
06/13/17,2680.91,2789.04,2650.38,2717.02,1781200000,44530631894
06/14/17,2716.88,2786.83,2412.94,2506.37,1696560000,41082567339
06/15/17,2499.58,2534.71,2212.96,2464.58,2026259968,40402259202
06/16/17,2469.57,2539.92,2385.15,2518.56,1195190016,41291821423
06/17/17,2514.01,2685.19,2484.96,2655.88,1534509952,43548031452
06/18/17,2655.35,2662.1,2516.33,2548.29,1178659968,41788418974
06/19/17,2549.03,2662.85,2549.03,2589.6,1446840064,42470734800
06/20/17,2591.26,2763.45,2589.82,2721.79,1854189952,44643512689
06/21/17,2709.43,2772.01,2660.4,2689.1,1626579968,44111929173
06/22/17,2691.03,2723.74,2642.36,2705.41,1097939968,44384244937
06/23/17,2707.34,2765.17,2706.37,2744.91,961318976,45037797053
06/24/17,2738.52,2757.94,2583.19,2608.72,982750016,42807952581
06/25/17,2607.25,2682.26,2552.12,2589.41,1161100032,42495001716
06/26/17,2590.57,2615.25,2376.29,2478.45,1663280000,40677994354
06/27/17,2478.45,2552.45,2332.99,2552.45,1489789952,41897190525
06/28/17,2553.03,2603.98,2484.42,2574.79,1183869952,42268942193
06/29/17,2567.56,2588.83,2510.48,2539.32,949979008,41690395783
06/30/17,2539.24,2559.25,2478.43,2480.84,860273024,40735082695
07/01/17,2492.6,2515.27,2419.23,2434.55,779913984,39980058373
07/02/17,2436.4,2514.28,2394.84,2506.47,803747008,41167015221
07/03/17,2498.56,2595,2480.47,2564.06,964112000,42118211083
07/04/17,2561,2631.59,2559.35,2601.64,985516032,42740618673
07/05/17,2602.87,2622.65,2538.55,2601.99,941566016,42751085999
07/06/17,2608.1,2616.72,2581.69,2608.56,761956992,42863758795
07/07/17,2608.59,2916.14,2498.87,2518.66,917411968,41391217675
07/08/17,2520.27,2571.34,2492.31,2571.34,733329984,42262222823
07/09/17,2572.61,2635.49,2517.59,2518.44,527856000,41397076604
07/10/17,2525.25,2537.16,2321.13,2372.56,1111200000,39005033499
07/11/17,2385.89,2413.47,2296.81,2337.79,1329760000,38438497236
07/12/17,2332.77,2423.71,2275.14,2398.84,1117410048,39447604438
07/13/17,2402.7,2425.22,2340.83,2357.9,835769984,38778935907
07/14/17,2360.59,2363.25,2183.22,2233.34,882502976,36734255488
07/15/17,2230.12,2231.14,1990.41,1998.86,993608000,32880721300
07/16/17,1991.98,2058.77,1843.03,1929.82,1182870016,31748939343
07/17/17,1932.62,2230.49,1932.62,2228.41,1201760000,36665393517
07/18/17,2233.52,2387.61,2164.77,2318.88,1512450048,38158677672
07/19/17,2323.08,2397.17,2260.23,2273.43,1245100032,37415031061
07/20/17,2269.89,2900.7,2269.89,2817.6,2249260032,46376428080
07/21/17,2838.41,2838.41,2621.85,2667.76,1489449984,43915296559
07/22/17,2668.63,2862.42,2657.71,2810.12,1177129984,46264340367
07/23/17,2808.1,2832.18,2653.94,2730.4,1072840000,44957775265
07/24/17,2732.7,2777.26,2699.19,2754.86,866473984,45366654309
07/25/17,2757.5,2768.08,2480.96,2576.48,1460089984,42433788244
07/26/17,2577.77,2610.76,2450.8,2529.45,937404032,41663929265
07/27/17,2538.71,2693.32,2529.34,2671.78,789104000,44013533097
07/28/17,2679.73,2897.45,2679.73,2809.01,1380099968,46279316161
07/29/17,2807.02,2808.76,2692.8,2726.45,803745984,44924534585
07/30/17,2724.39,2758.53,2644.85,2757.18,705942976,45435913868
07/31/17,2763.24,2889.62,2720.61,2875.34,860574976,47388334773
08/01/17,2871.3,2921.35,2685.61,2718.26,1324669952,44804603885
08/02/17,2727.13,2762.53,2668.59,2710.67,1094950016,44684649516
08/03/17,2709.56,2813.31,2685.14,2804.73,804796992,46239970790
08/04/17,2806.93,2899.33,2743.72,2895.89,1002120000,47749461443
08/05/17,2897.63,3290.01,2874.83,3252.91,1945699968,53643452554
08/06/17,3257.61,3293.29,3155.6,3213.94,1105030016,53006426108
08/07/17,3212.78,3397.68,3180.89,3378.94,1482279936,55734179251
08/08/17,3370.22,3484.85,3345.83,3419.94,1752760064,56417337745
08/09/17,3420.4,3422.76,3247.67,3342.47,1468960000,55145196472
08/10/17,3341.84,3453.45,3319.47,3381.28,1515110016,55791120000
08/11/17,3373.82,3679.72,3372.12,3650.62,2021190016,60241844923
08/12/17,3650.63,3949.92,3613.7,3884.71,2219589888,64111163866
08/13/17,3880.04,4208.39,3857.8,4073.26,3159089920,67230528989
08/14/17,4066.1,4325.13,3989.16,4325.13,2463089920,71394704654
08/15/17,4326.99,4455.97,3906.18,4181.93,3258050048,69038855081
08/16/17,4200.34,4381.23,3994.42,4376.63,2272039936,72260183303
08/17/17,4384.44,4484.7,4243.71,4331.69,2553359872,71527949443
08/18/17,4324.34,4370.13,4015.4,4160.62,2941710080,68710871037
08/19/17,4137.75,4243.26,3970.55,4193.7,2975820032,69265141208
08/20/17,4189.31,4196.29,4069.88,4087.66,2109769984,67520478838
08/21/17,4090.48,4109.14,3988.6,4001.74,2800890112,66106992038
08/22/17,3998.35,4128.76,3674.58,4100.52,3764239872,67743202431
08/23/17,4089.01,4255.78,4078.41,4151.52,2369819904,68593954170
08/24/17,4137.6,4376.39,4130.26,4334.68,2037750016,71625870868
08/25/17,4332.82,4455.7,4307.35,4371.6,1727970048,72241507489
08/26/17,4372.06,4379.28,4269.52,4352.4,1511609984,71929882019
08/27/17,4345.1,4416.59,4317.29,4382.88,1537459968,72441993792
08/28/17,4384.45,4403.93,4224.64,4382.66,1959330048,72445588933
08/29/17,4389.21,4625.68,4352.13,4579.02,2486080000,75699786263
08/30/17,4570.36,4626.52,4471.41,4565.3,1937849984,75482724984
08/31/17,4555.59,4736.05,4549.4,4703.39,1944930048,77775374625
09/01/17,4701.76,4892.01,4678.53,4892.01,2599079936,80905039782
09/02/17,4901.42,4975.04,4469.24,4578.77,2722139904,75734114962
09/03/17,4585.27,4714.08,4417.59,4582.96,1933190016,75812181334
09/04/17,4591.63,4591.63,4108.4,4236.31,2987330048,70087101256
09/05/17,4228.29,4427.84,3998.11,4376.53,2697969920,72417728536
09/06/17,4376.59,4617.25,4376.59,4597.12,2172100096,76077049312
09/07/17,4589.14,4655.04,4491.33,4599.88,1844620032,76132843874
09/08/17,4605.16,4661,4075.18,4228.75,2700890112,69999555938
09/09/17,4229.81,4308.82,4114.11,4226.06,1386230016,69963847482
09/10/17,4229.34,4245.44,3951.04,4122.94,1679090048,68263826801
09/11/17,4122.47,4261.67,4099.4,4161.27,1557330048,68907352119
09/12/17,4168.88,4344.65,4085.22,4130.81,1864530048,68412822896
09/13/17,4131.98,4131.98,3789.92,3882.59,2219409920,64311123695
09/14/17,3875.37,3920.6,3153.86,3154.95,2716310016,52265453816
09/15/17,3166.3,3733.45,2946.62,3637.52,4148069888,60267886368
09/16/17,3637.75,3808.84,3487.79,3625.04,1818400000,60068678195
09/17/17,3606.28,3664.81,3445.64,3582.88,1239149952,59377995376
09/18/17,3591.09,4079.23,3591.09,4065.2,1943209984,67377945990
09/19/17,4073.79,4094.07,3868.87,3924.97,1563980032,65061185838
09/20/17,3916.36,4031.39,3857.73,3905.95,1213830016,64751811835
09/21/17,3901.47,3916.42,3613.63,3631.04,1411480064,60202370872
09/22/17,3628.02,3758.27,3553.53,3630.7,1194829952,60203040223
09/23/17,3629.92,3819.21,3594.58,3792.4,928113984,62892069389
09/24/17,3796.15,3796.15,3666.9,3682.84,768014976,61081971156
09/25/17,3681.58,3950.25,3681.58,3926.07,1374210048,65122213849
09/26/17,3928.41,3969.89,3869.9,3892.35,1043740032,64569365079
